"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 22 16:37:12 IST 2022","Fri Jul 22 16:37:48 IST 2022","35569","Suite","Test","Library.WorkbookNameVerify","Library.WorkbookNameVerify","TeacherWorkbookCheck","TeacherWorkbookCheck","To check if the teacher workbook name is the same as that mentioned in the library image"
"passed","Fri Jul 22 16:09:55 IST 2022","Fri Jul 22 16:10:16 IST 2022","21520","Suite","Test","Notebook.GradeCheck","Notebook.GradeCheck","CheckStudentBookGrade","CheckStudentBookGrade","To see if a student in a specific grade has the correct grade book"
"passed","Fri Jul 22 17:26:12 IST 2022","Fri Jul 22 17:27:04 IST 2022","52000","Suite","Test","Library.AudioCheck","Library.AudioCheck","StudentAudioCheck","StudentAudioCheck","To check if the audio player is displayed or not."
"passed","Fri Jul 22 16:11:46 IST 2022","Fri Jul 22 16:12:04 IST 2022","18492","Suite","Test","Notebook.GradeCheck","Notebook.GradeCheck","CheckTeacherBookGrade","CheckTeacherBookGrade","To see if a teacher of a specific grade has the correct grade book"
"passed","Fri Jul 22 16:55:03 IST 2022","Fri Jul 22 16:56:30 IST 2022","87086","Suite","Test","Library.LessonTopicsVerify","Library.LessonTopicsVerify","StudentLessonTopicCheck","StudentLessonTopicCheck","Whichever option is selected, the lesson name should be clearly visible."
"passed","Fri Jul 22 17:39:56 IST 2022","Fri Jul 22 17:40:01 IST 2022","5684","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","TeacherLoginPageIncorrectPassword","TeacherLoginPageIncorrectPassword","Examin Teacher Login with incorrect password details"
"passed","Fri Jul 22 15:51:41 IST 2022","Fri Jul 22 15:52:04 IST 2022","22384","Suite","Test","Publish.PublishLandingPage","Publish.PublishLandingPage","studentLanding","studentLanding","Examine whether or not the student can successfully get inside the publish module."
"passed","Fri Jul 22 17:38:30 IST 2022","Fri Jul 22 17:38:30 IST 2022","123","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","IncorrectStudentMobileNoCheck","IncorrectStudentMobileNoCheck","Examin Student Login with incorrect mobile number"
"passed","Fri Jul 22 15:58:45 IST 2022","Fri Jul 22 15:59:36 IST 2022","50773","Suite","Test","Publish.PublishPagination","Publish.PublishPagination","studentPublishPagination","studentPublishPagination","Examine whether or not the student can successfully navigate to next pages."
"passed","Fri Jul 22 17:37:01 IST 2022","Fri Jul 22 17:37:13 IST 2022","12315","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","StudentLoginPageCorrectCredentials","StudentLoginPageCorrectCredentials","Examin Student Login with correct details"
"passed","Fri Jul 22 17:36:14 IST 2022","Fri Jul 22 17:36:14 IST 2022","117","Suite","Test","loginFunctionality.LoginLandingPageCheck","loginFunctionality.LoginLandingPageCheck","teacherLandingPage","teacherLandingPage","Examin Teacher toggle check"
"passed","Fri Jul 22 17:36:12 IST 2022","Fri Jul 22 17:36:12 IST 2022","119","Suite","Test","loginFunctionality.LoginLandingPageCheck","loginFunctionality.LoginLandingPageCheck","studentLandingPage","studentLandingPage","Examin Student Toggel check "
"passed","Fri Jul 22 16:27:21 IST 2022","Fri Jul 22 16:27:51 IST 2022","30544","Suite","Test","Library.GradeCheck","Library.GradeCheck","CheckStudentBookGrade","CheckStudentBookGrade","To see if a student in a specific grade has the correct grade book"
"passed","Fri Jul 22 15:52:07 IST 2022","Fri Jul 22 15:52:29 IST 2022","22449","Suite","Test","Publish.PublishLandingPage","Publish.PublishLandingPage","studentLanding","studentLanding","Examine whether or not the student can successfully get inside the publish module."
"passed","Fri Jul 22 17:12:29 IST 2022","Fri Jul 22 17:13:03 IST 2022","34671","Suite","Test","Library.SearchCheck","Library.SearchCheck","TeacherSearchCheck","TeacherSearchCheck","Searched content should be displayed on screen."
"passed","Fri Jul 22 17:36:31 IST 2022","Fri Jul 22 17:36:43 IST 2022","12301","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","StudentLoginPageCorrectCredentials","StudentLoginPageCorrectCredentials","Examin Student Login with correct details"
