"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 22 16:04:44 IST 2022","Thu Sep 22 16:05:07 IST 2022","23176","Suite","Test","Publish.PublishLandingPage","Publish.PublishLandingPage","teacherLanding","teacherLanding","Examine whether or not the teacher can successfully get inside the Publish module."
"passed","Fri Sep 23 10:20:31 IST 2022","Fri Sep 23 10:20:52 IST 2022","21447","Suite","Test","Assessment.AssessmentLandingPageCheck","Assessment.AssessmentLandingPageCheck","teacherLanding","teacherLanding","Examine whether or not the teacher can successfully get inside the Assessment module."
"passed","Thu Sep 22 17:55:20 IST 2022","Thu Sep 22 17:56:00 IST 2022","39443","Suite","Test","Library.SearchCheck","Library.SearchCheck","TeacherSearchCheck","TeacherSearchCheck","Searched content should be displayed on screen."
"passed","Thu Sep 22 16:09:02 IST 2022","Thu Sep 22 16:09:55 IST 2022","53112","Suite","Test","Publish.PublishViewsandLikes_Student","Publish.PublishViewsandLikes_Student","studentPublishViewsandLikes","studentPublishViewsandLikes","Examine whether or not the student can successfully view and like the published content."
"passed","Fri Sep 23 10:03:44 IST 2022","Fri Sep 23 10:04:06 IST 2022","21322","Suite","Test","StudentGroups.StudentGroupsLandingPageCheck","StudentGroups.StudentGroupsLandingPageCheck","teacherLanding","teacherLanding","Examine whether or not the teacher can successfully get inside the Student Groups module."
"broken","Fri Sep 23 11:22:18 IST 2022","Fri Sep 23 11:23:11 IST 2022","53714","Suite","Test","Notebook.viewHighlightsNotesBookmarks","Notebook.viewHighlightsNotesBookmarks","CheckStudentHighlightsNotesBookmarks","CheckStudentHighlightsNotesBookmarks","To see if a student can view highlights, notes and bookmarks from library in Notebook"
"passed","Thu Sep 22 16:03:49 IST 2022","Thu Sep 22 16:04:11 IST 2022","22706","Suite","Test","Publish.PublishLandingPage","Publish.PublishLandingPage","teacherLanding","teacherLanding","Examine whether or not the teacher can successfully get inside the Publish module."
"passed","Thu Sep 22 17:11:38 IST 2022","Thu Sep 22 17:12:21 IST 2022","43295","Suite","Test","Library.WorkbookNameVerify","Library.WorkbookNameVerify","StudentWorkbookCheck","StudentWorkbookCheck","To check if the student workbook name is the same as that mentioned in the library image"
"passed","Fri Sep 23 10:11:34 IST 2022","Fri Sep 23 10:11:56 IST 2022","22421","Suite","Test","StudentGroups.EditGroupCheck","StudentGroups.EditGroupCheck","TeacherEditGroupCheck","TeacherEditGroupCheck","Examine whether or not the teacher can successfully edit the added group."
"failed","Fri Sep 23 10:48:46 IST 2022","Fri Sep 23 10:49:50 IST 2022","64539","Suite","Test","Attendance.AttendancePresentAbsentLeaveHoliday","Attendance.AttendancePresentAbsentLeaveHoliday","studentPALHCountCheck","studentPALHCountCheck","Examine whether or not the student can view the count of present, absent, leave, and holiday correctly."
