"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 06 12:32:10 IST 2022","Thu Oct 06 12:32:51 IST 2022","40695","Suite","Test","Attendance.AttendanceMarkHolidayCheck","Attendance.AttendanceMarkHolidayCheck","teacherMarkHolidayCheck","teacherMarkHolidayCheck","Examine whether or not the teacher can mark a day as holiday or mark attendance for any particular day."
"broken","Thu Oct 06 11:55:29 IST 2022","Thu Oct 06 11:57:20 IST 2022","111667","Suite","Test","Assessment.AssessmentsDraftsCheck","Assessment.AssessmentsDraftsCheck","teacherDraftAssessmentsCheck","teacherDraftAssessmentsCheck","Examine whether or not the teacher can successfully draft assessment for the students."
"passed","Thu Oct 06 12:32:53 IST 2022","Thu Oct 06 12:33:34 IST 2022","40897","Suite","Test","Attendance.AttendanceMarkHolidayCheck","Attendance.AttendanceMarkHolidayCheck","teacherMarkHolidayCheck","teacherMarkHolidayCheck","Examine whether or not the teacher can mark a day as holiday or mark attendance for any particular day."
"passed","Thu Oct 06 12:33:37 IST 2022","Thu Oct 06 12:34:18 IST 2022","41018","Suite","Test","Attendance.AttendanceMarkHolidayCheck","Attendance.AttendanceMarkHolidayCheck","teacherMarkHolidayCheck","teacherMarkHolidayCheck","Examine whether or not the teacher can mark a day as holiday or mark attendance for any particular day."
"passed","Thu Oct 06 11:09:27 IST 2022","Thu Oct 06 11:09:49 IST 2022","21463","Suite","Test","StudentGroups.AddGroupBtnCheck","StudentGroups.AddGroupBtnCheck","TeacherAddGroupBtnCheck","TeacherAddGroupBtnCheck","Examine whether or not the teacher can successfully click the add group button."
"passed","Thu Oct 06 14:09:47 IST 2022","Thu Oct 06 14:10:19 IST 2022","31804","Suite","Test","Library.LibLandingPageCheck","Library.LibLandingPageCheck","studentLanding","studentLanding","Examine whether or not the student can successfully get inside the library module."
"passed","Thu Oct 06 13:23:15 IST 2022","Thu Oct 06 13:23:37 IST 2022","21877","Suite","Test","Publish.PublishLandingPage","Publish.PublishLandingPage","teacherLanding","teacherLanding","Examine whether or not the teacher can successfully get inside the Publish module."
"passed","Thu Oct 06 15:13:13 IST 2022","Thu Oct 06 15:14:19 IST 2022","66152","Suite","Test","Library.VideoCheck","Library.VideoCheck","teacherVideocheck","teacherVideocheck","Examine whether or not the video can successfully played properly."
"passed","Thu Oct 06 11:10:15 IST 2022","Thu Oct 06 11:10:37 IST 2022","21450","Suite","Test","StudentGroups.AddGroupBtnCheck","StudentGroups.AddGroupBtnCheck","TeacherAddGroupBtnCheck","TeacherAddGroupBtnCheck","Examine whether or not the teacher can successfully click the add group button."
"passed","Thu Oct 06 10:42:15 IST 2022","Thu Oct 06 10:42:41 IST 2022","26678","Suite","Test","Publish.PublishNewContentCheck","Publish.PublishNewContentCheck","studentPublishNewContentCheck","studentPublishNewContentCheck","Examine whether or not the student can successfully view the published content published by teacher."
"passed","Thu Oct 06 13:50:01 IST 2022","Thu Oct 06 13:50:24 IST 2022","23278","Suite","Test","Notebook.NotebookLandingPageCheck","Notebook.NotebookLandingPageCheck","studentLanding","studentLanding","Examine whether or not the student can successfully get inside the notebook module."
"passed","Thu Oct 06 17:02:56 IST 2022","Thu Oct 06 17:03:33 IST 2022","37064","Suite","Test","LessonDelivery.LessonDeliveryStartEndSessionCheck","LessonDelivery.LessonDeliveryStartEndSessionCheck","TeacherStartEndSessionCheck","TeacherStartEndSessionCheck","Teacher should be able to start, resume, and end sessions whenever needed."
"failed","Thu Oct 06 13:08:23 IST 2022","Thu Oct 06 13:09:44 IST 2022","80721","Suite","Test","Doubts.DoubtsFilterFunctionality","Doubts.DoubtsFilterFunctionality","studentFilterFunctionalityCheck","studentFilterFunctionalityCheck","Examine whether or not the student can successfully filter the content by applying specific filters."
"passed","Thu Oct 06 16:36:45 IST 2022","Thu Oct 06 16:37:07 IST 2022","22512","Suite","Test","LessonDelivery.LessonDeliveryLandingPageCheck","LessonDelivery.LessonDeliveryLandingPageCheck","teacherLanding","teacherLanding","Examine whether or not the teacher can successfully get inside the Lesson Delivery module."
"passed","Thu Oct 06 14:03:23 IST 2022","Thu Oct 06 14:04:30 IST 2022","67630","Suite","Test","Notebook.LessonNameVerify","Notebook.LessonNameVerify","TeacherLessonNameCheck","TeacherLessonNameCheck","Whichever option is selected, the lesson name should be clearly visible."
"failed","Thu Oct 06 13:09:47 IST 2022","Thu Oct 06 13:11:08 IST 2022","81002","Suite","Test","Doubts.DoubtsFilterFunctionality","Doubts.DoubtsFilterFunctionality","studentFilterFunctionalityCheck","studentFilterFunctionalityCheck","Examine whether or not the student can successfully filter the content by applying specific filters."
"broken","Thu Oct 06 15:11:06 IST 2022","Thu Oct 06 15:12:02 IST 2022","56825","Suite","Test","Library.VideoCheck","Library.VideoCheck","teacherVideocheck","teacherVideocheck","Examine whether or not the video can successfully played properly."
"passed","Thu Oct 06 13:38:03 IST 2022","Thu Oct 06 13:38:42 IST 2022","39370","Suite","Test","Publish.PublishTeacherCategoryFilters_Student","Publish.PublishTeacherCategoryFilters_Student","studentPublishTeacherFilter","studentPublishTeacherFilter","Examine whether or not the student can successfully filter content according to Teacher."
"passed","Thu Oct 06 15:25:15 IST 2022","Thu Oct 06 15:25:29 IST 2022","13209","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","StudentLoginPageCorrectCredentials","StudentLoginPageCorrectCredentials","Examin Student Login with correct details"
"passed","Thu Oct 06 14:14:33 IST 2022","Thu Oct 06 14:15:06 IST 2022","32293","Suite","Test","Library.GradeCheck","Library.GradeCheck","CheckStudentBookGrade","CheckStudentBookGrade","To see if a student in a specific grade has the correct grade book"
"failed","Thu Oct 06 13:06:15 IST 2022","Thu Oct 06 13:06:57 IST 2022","41333","Suite","Test","Doubts.DoubtsFilterFunctionality","Doubts.DoubtsFilterFunctionality","studentFilterFunctionalityCheck","studentFilterFunctionalityCheck","Examine whether or not the student can successfully filter the content by applying specific filters."
"passed","Thu Oct 06 12:48:56 IST 2022","Thu Oct 06 12:49:25 IST 2022","29510","Suite","Test","Doubts.DoubtsAskaDoubt_Student","Doubts.DoubtsAskaDoubt_Student","studentAskADoubt","studentAskADoubt","Examine whether or not the student can successfully open page for asking doubt."
