"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 17 15:14:45 IST 2022","Mon Oct 17 15:15:11 IST 2022","25797","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","StudentLoginPageCorrectCredentials","StudentLoginPageCorrectCredentials","Examin Student Login with correct details"
"passed","Mon Oct 17 14:10:55 IST 2022","Mon Oct 17 14:11:18 IST 2022","23483","Suite","Test","Notebook.NotebookLandingPageCheck","Notebook.NotebookLandingPageCheck","studentLanding","studentLanding","Examine whether or not the student can successfully get inside the notebook module."
"passed","Mon Oct 17 13:30:17 IST 2022","Mon Oct 17 13:31:01 IST 2022","44208","Suite","Test","Doubts.DoubtsUploadMultimediaCheck","Doubts.DoubtsUploadMultimediaCheck","studentUploadMultimedia","studentUploadMultimedia","Examine whether or not the student can successfully upload multimedia content in his/her doubt."
"passed","Mon Oct 17 14:34:46 IST 2022","Mon Oct 17 14:35:13 IST 2022","26935","Suite","Test","Library.LibLandingPageCheck","Library.LibLandingPageCheck","teacherLanding","teacherLanding","Examine whether or not the teacher can successfully get inside the library module."
"broken","Mon Oct 17 11:24:46 IST 2022","Mon Oct 17 11:25:25 IST 2022","38747","Suite","Test","LessonDelivery.LessonDeliveryCompletedOngoingTagCheck","LessonDelivery.LessonDeliveryCompletedOngoingTagCheck","TeacherCompletedOngoingTagCheck","TeacherCompletedOngoingTagCheck","Teacher should be able to view the correct tags tagged to the learning plans."
"failed","Mon Oct 17 12:45:28 IST 2022","Mon Oct 17 12:46:34 IST 2022","65259","Suite","Test","Attendance.AttendancePresentAbsentLeaveHoliday","Attendance.AttendancePresentAbsentLeaveHoliday","studentPALHCountCheck","studentPALHCountCheck","Examine whether or not the student can view the count of present, absent, leave, and holiday correctly."
"passed","Mon Oct 17 11:48:35 IST 2022","Mon Oct 17 11:49:23 IST 2022","48088","Suite","Test","LessonDelivery.LessonDeliveryInsertImageCheck","LessonDelivery.LessonDeliveryInsertImageCheck","TeacherInsertImageCheck","TeacherInsertImageCheck","Teacher should be able to insert image while creating learning plan successfully."
"passed","Mon Oct 17 11:32:19 IST 2022","Mon Oct 17 11:32:59 IST 2022","40476","Suite","Test","LessonDelivery.LessonDeliveryEditLearningPlan","LessonDelivery.LessonDeliveryEditLearningPlan","TeacherEditLearningPlanCheck","TeacherEditLearningPlanCheck","Teacher should be able to able to edit the learning plan successfully."
"broken","Mon Oct 17 14:53:30 IST 2022","Mon Oct 17 14:53:57 IST 2022","26609","Suite","Test","Library.LessonTopicsVerify","Library.LessonTopicsVerify","StudentLessonTopicCheck","StudentLessonTopicCheck","Whichever option is selected, the lesson name should be clearly visible."
"broken","Mon Oct 17 15:18:58 IST 2022","Mon Oct 17 15:19:19 IST 2022","21738","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","StudentLoginPageIncorrectPassword","StudentLoginPageIncorrectPassword","Examin Student Login with incorrect password details"
"failed","Mon Oct 17 14:41:51 IST 2022","Mon Oct 17 14:42:14 IST 2022","23491","Suite","Test","Library.GradeCheck","Library.GradeCheck","CheckTeacherBookGrade","CheckTeacherBookGrade","To see if a teacher of a specific grade has the correct grade book"
"passed","Mon Oct 17 12:20:12 IST 2022","Mon Oct 17 12:20:39 IST 2022","26986","Suite","Test","Assessment.AssessmentLandingPageCheck","Assessment.AssessmentLandingPageCheck","studentLanding","studentLanding","Examine whether or not the student can successfully get inside the Assessment module."
"passed","Mon Oct 17 14:31:11 IST 2022","Mon Oct 17 14:31:44 IST 2022","32693","Suite","Test","Library.LibLandingPageCheck","Library.LibLandingPageCheck","studentLanding","studentLanding","Examine whether or not the student can successfully get inside the library module."
"broken","Mon Oct 17 15:00:12 IST 2022","Mon Oct 17 15:00:39 IST 2022","26633","Suite","Test","Library.SearchCheck","Library.SearchCheck","StudentSearchCheck","StudentSearchCheck","Searched content should be displayed on screen."
