"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 15 18:24:17 IST 2022","Wed Jun 15 18:24:19 IST 2022","1388","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","IncorrectTeacherMobileNoCheck","IncorrectTeacherMobileNoCheck","Examin Teacher Login with incorrect mobile number"
"failed","Wed Jun 15 18:20:32 IST 2022","Wed Jun 15 18:20:35 IST 2022","2531","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","StudentLoginPageCorrectCredentials","StudentLoginPageCorrectCredentials","Examin Student Login with correct details"
"passed","Wed Jun 15 18:21:33 IST 2022","Wed Jun 15 18:21:35 IST 2022","2473","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","StudentLoginPageIncorrectPassword","StudentLoginPageIncorrectPassword","Examin Student Login with incorrect password details"
"passed","Wed Jun 15 18:24:38 IST 2022","Wed Jun 15 18:24:45 IST 2022","7198","Suite","Test","Library.LibLandingPageCheck","Library.LibLandingPageCheck","studentLanding","studentLanding","Examine whether or not the student can successfully get inside the library module."
"passed","Wed Jun 15 18:20:41 IST 2022","Wed Jun 15 18:20:42 IST 2022","1831","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","StudentLoginPageCorrectCredentials","StudentLoginPageCorrectCredentials","Examin Student Login with correct details"
"passed","Wed Jun 15 18:25:44 IST 2022","Wed Jun 15 18:25:51 IST 2022","6596","Suite","Test","Library.GradeCheck","Library.GradeCheck","CheckStudentBookGrade","CheckStudentBookGrade","To see if a student in a specific grade has the correct grade book"
"failed","Wed Jun 15 18:20:58 IST 2022","Wed Jun 15 18:21:01 IST 2022","2488","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","StudentLoginPageCorrectCredentials","StudentLoginPageCorrectCredentials","Examin Student Login with correct details"
"passed","Wed Jun 15 18:26:40 IST 2022","Wed Jun 15 18:26:46 IST 2022","5987","Suite","Test","Library.GradeCheck","Library.GradeCheck","CheckTeacherBookGrade","CheckTeacherBookGrade","To see if a teacher of a specific grade has the correct grade book"
"passed","Wed Jun 15 18:30:11 IST 2022","Wed Jun 15 18:30:25 IST 2022","13261","Suite","Test","Library.WorkbookNameVerify","Library.WorkbookNameVerify","TeacherWorkbookCheck","TeacherWorkbookCheck","To check if the teacher workbook name is the same as that mentioned in the library image"
"passed","Wed Jun 15 18:29:08 IST 2022","Wed Jun 15 18:29:21 IST 2022","13268","Suite","Test","Library.WorkbookNameVerify","Library.WorkbookNameVerify","TeacherWorkbookCheck","TeacherWorkbookCheck","To check if the teacher workbook name is the same as that mentioned in the library image"
"passed","Wed Jun 15 18:27:29 IST 2022","Wed Jun 15 18:27:40 IST 2022","11361","Suite","Test","Library.WorkbookNameVerify","Library.WorkbookNameVerify","StudentWorkbookCheck","StudentWorkbookCheck","To check if the student workbook name is the same as that mentioned in the library image"
"passed","Wed Jun 15 18:22:20 IST 2022","Wed Jun 15 18:22:21 IST 2022","279","Suite","Test","loginFunctionality.UserSignInFunctionality","loginFunctionality.UserSignInFunctionality","IncorrectStudentMobileNoCheck","IncorrectStudentMobileNoCheck","Examin Student Login with incorrect mobile number"
